1 sink_xan_c|Intracellular Constraint::xan_c --> []
1167 PI4P5K_16_0_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_16_0_18_2_c --> pail345p_hs_16_0_18_2_c+h_c+adp_c
1168 PI345P3P_16_0_18_2|Expanded Glycerophospholipid metabolism::pail345p_hs_16_0_18_2_c+h2o_c --> pi_c+pail45p_hs_16_0_18_2_c
1169 PI45PLC_16_0_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_16_0_18_2_c --> h_c+dag_hs_16_0_18_2_c+mi145p_c
1170 AGPAT1_16_0_20_4|Expanded DAG metabolism::arachdcoa_c+alpha_hs_16_0_c --> pa_hs_16_0_20_4_c+coa_c
1171 PPAP_16_0_20_4|Expanded DAG metabolism::pa_hs_16_0_20_4_c+h2o_c --> dag_hs_16_0_20_4_c+pi_c
1172 CEPTE_16_0_20_4|Expanded Phospholipid metabolism::cdpea_c+dag_hs_16_0_20_4_c --> cmp_c+h_c+pe_hs_16_0_20_4_c
1173 PSSA2_hs_16_0_20_4|Expanded Phospholipid metabolism::ser_L_c+pe_hs_16_0_20_4_c --> ps_hs_16_0_20_4_c+etha_c
1174 PSSA2_hs_16_0_20_4|Expanded Phospholipid metabolism_reverse::ps_hs_16_0_20_4_c+etha_c --> ser_L_c+pe_hs_16_0_20_4_c
1175 PSSA1_hs_16_0_20_4|Expanded Phospholipid metabolism::ps_hs_16_0_20_4_c+chol_c --> pchol_hs_16_0_20_4_c+ser_L_c
1176 PSSA1_hs_16_0_20_4|Expanded Phospholipid metabolism_reverse::pchol_hs_16_0_20_4_c+ser_L_c --> ps_hs_16_0_20_4_c+chol_c
1177 CEPTC_16_0_20_4|Expanded Phospholipid metabolism::dag_hs_16_0_20_4_c+cdpchol_c --> cmp_c+pchol_hs_16_0_20_4_c+h_c
1178 PLA2_2_16_0_20_4|Expanded Phospholipid metabolism::h2o_c+pchol_hs_16_0_20_4_c --> lpchol_hs_16_0_c+h_c+arachd_c
1179 DAGK_hs_16_0_20_4|Expanded DAG metabolism::pa_hs_16_0_20_4_c+h_c+adp_c --> atp_c+dag_hs_16_0_20_4_c
1180 DAGK_hs_16_0_20_4|Expanded DAG metabolism_reverse::atp_c+dag_hs_16_0_20_4_c --> pa_hs_16_0_20_4_c+h_c+adp_c
1181 LPS2_16_0_20_4|Expanded DAG metabolism::h2o_c+dag_hs_16_0_20_4_c --> mag_hs_16_0_c+h_c+arachd_c
1182 CDS_16_0_20_4|Expanded Glycerophospholipid metabolism::pa_hs_16_0_20_4_c+ctp_c+h_c --> ppi_c+cdpdag_hs_16_0_20_4_c
1183 CDIPTr_16_0_20_4|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_16_0_20_4_c --> pail_hs_16_0_20_4_c+cmp_c+h_c
1184 PIPLC_16_0_20_4|Expanded Glycerophospholipid metabolism::pail_hs_16_0_20_4_c+h2o_c --> mi1p_D_c+dag_hs_16_0_20_4_c+h_c
1185 PIK4_16_0_20_4|Expanded Glycerophospholipid metabolism::pail_hs_16_0_20_4_c+atp_c --> h_c+adp_c+pail4p_hs_16_0_20_4_c
1186 PI4PLC_16_0_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_16_0_20_4_c --> dag_hs_16_0_20_4_c+h_c+mi14p_c
1187 PI4P3K_16_0_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_16_0_20_4_c --> pail34p_hs_16_0_20_4_c+h_c+adp_c
1188 PI34P5K_16_0_20_4|Expanded Glycerophospholipid metabolism::pail34p_hs_16_0_20_4_c+atp_c --> pail345p_hs_16_0_20_4_c+h_c+adp_c
1189 PI4P5K_16_0_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_16_0_20_4_c --> pail345p_hs_16_0_20_4_c+h_c+adp_c
1190 PI345P3P_16_0_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_16_0_20_4_c --> pi_c+pail45p_hs_16_0_20_4_c
1191 PI45PLC_16_0_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_16_0_20_4_c --> dag_hs_16_0_20_4_c+h_c+mi145p_c
1192 AGPAT1_18_0_18_0|Expanded DAG metabolism::alpha_hs_18_0_c+stcoa_c --> coa_c+pa_hs_18_0_18_0_c
1193 PPAP_18_0_18_0|Expanded DAG metabolism::h2o_c+pa_hs_18_0_18_0_c --> dag_hs_18_0_18_0_c+pi_c
1194 CEPTE_18_0_18_0|Expanded Phospholipid metabolism::dag_hs_18_0_18_0_c+cdpea_c --> cmp_c+h_c+pe_hs_18_0_18_0_c
1195 PSSA2_hs_18_0_18_0|Expanded Phospholipid metabolism::ser_L_c+pe_hs_18_0_18_0_c --> ps_hs_18_0_18_0_c+etha_c
1196 PSSA2_hs_18_0_18_0|Expanded Phospholipid metabolism_reverse::ps_hs_18_0_18_0_c+etha_c --> ser_L_c+pe_hs_18_0_18_0_c
1197 PSSA1_hs_18_0_18_0|Expanded Phospholipid metabolism::chol_c+ps_hs_18_0_18_0_c --> ser_L_c+pchol_hs_18_0_18_0_c
1198 PSSA1_hs_18_0_18_0|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_0_18_0_c --> chol_c+ps_hs_18_0_18_0_c
1199 CEPTC_18_0_18_0|Expanded Phospholipid metabolism::dag_hs_18_0_18_0_c+cdpchol_c --> cmp_c+pchol_hs_18_0_18_0_c+h_c
1200 PLA2_2_18_0_18_0|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_0_18_0_c --> h_c+lpchol_hs_18_0_c+ocdca_c
1201 DAGK_hs_18_0_18_0|Expanded DAG metabolism::h_c+adp_c+pa_hs_18_0_18_0_c --> dag_hs_18_0_18_0_c+atp_c
1202 DAGK_hs_18_0_18_0|Expanded DAG metabolism_reverse::dag_hs_18_0_18_0_c+atp_c --> h_c+adp_c+pa_hs_18_0_18_0_c
1203 LPS2_18_0_18_0|Expanded DAG metabolism::dag_hs_18_0_18_0_c+h2o_c --> h_c+ocdca_c+mag_hs_18_0_c
1204 CDS_18_0_18_0|Expanded Glycerophospholipid metabolism::ctp_c+h_c+pa_hs_18_0_18_0_c --> ppi_c+cdpdag_hs_18_0_18_0_c
1205 CDIPTr_18_0_18_0|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_18_0_18_0_c --> cmp_c+pail_hs_18_0_18_0_c+h_c
1206 PIPLC_18_0_18_0|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_18_0_18_0_c --> dag_hs_18_0_18_0_c+mi1p_D_c+h_c
1207 PIK4_18_0_18_0|Expanded Glycerophospholipid metabolism::pail_hs_18_0_18_0_c+atp_c --> pail4p_hs_18_0_18_0_c+h_c+adp_c
1208 PI4PLC_18_0_18_0|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_0_18_0_c --> dag_hs_18_0_18_0_c+h_c+mi14p_c
1209 PI4P3K_18_0_18_0|Expanded Glycerophospholipid metabolism::pail4p_hs_18_0_18_0_c+atp_c --> pail34p_hs_18_0_18_0_c+h_c+adp_c
1210 PI34P5K_18_0_18_0|Expanded Glycerophospholipid metabolism::pail34p_hs_18_0_18_0_c+atp_c --> pail345p_hs_18_0_18_0_c+h_c+adp_c
1211 PI4P5K_18_0_18_0|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_18_0_18_0_c --> pail345p_hs_18_0_18_0_c+h_c+adp_c
1212 PI345P3P_18_0_18_0|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_0_18_0_c --> pi_c+pail45p_hs_18_0_18_0_c
1213 PI45PLC_18_0_18_0|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_0_18_0_c --> dag_hs_18_0_18_0_c+h_c+mi145p_c
1214 AGPAT1_18_0_18_1|Expanded DAG metabolism::alpha_hs_18_0_c+odecoa_c --> coa_c+pa_hs_18_0_18_1_c
1215 PPAP_18_0_18_1|Expanded DAG metabolism::h2o_c+pa_hs_18_0_18_1_c --> dag_hs_18_0_18_1_c+pi_c
1216 CEPTE_18_0_18_1|Expanded Phospholipid metabolism::dag_hs_18_0_18_1_c+cdpea_c --> cmp_c+h_c+pe_hs_18_0_18_1_c
1217 PSSA2_hs_18_0_18_1|Expanded Phospholipid metabolism::ser_L_c+pe_hs_18_0_18_1_c --> ps_hs_18_0_18_1_c+etha_c
1218 PSSA2_hs_18_0_18_1|Expanded Phospholipid metabolism_reverse::ps_hs_18_0_18_1_c+etha_c --> ser_L_c+pe_hs_18_0_18_1_c
1219 PSSA1_hs_18_0_18_1|Expanded Phospholipid metabolism::chol_c+ps_hs_18_0_18_1_c --> ser_L_c+pchol_hs_18_0_18_1_c
1220 PSSA1_hs_18_0_18_1|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_0_18_1_c --> chol_c+ps_hs_18_0_18_1_c
1221 CEPTC_18_0_18_1|Expanded Phospholipid metabolism::dag_hs_18_0_18_1_c+cdpchol_c --> cmp_c+h_c+pchol_hs_18_0_18_1_c
1222 PLA2_2_18_0_18_1|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_0_18_1_c --> ocdcea_c+h_c+lpchol_hs_18_0_c
1223 DAGK_hs_18_0_18_1|Expanded DAG metabolism::h_c+adp_c+pa_hs_18_0_18_1_c --> dag_hs_18_0_18_1_c+atp_c
1224 DAGK_hs_18_0_18_1|Expanded DAG metabolism_reverse::dag_hs_18_0_18_1_c+atp_c --> h_c+adp_c+pa_hs_18_0_18_1_c
1225 LPS2_18_0_18_1|Expanded DAG metabolism::dag_hs_18_0_18_1_c+h2o_c --> ocdcea_c+h_c+mag_hs_18_0_c
1226 CDS_18_0_18_1|Expanded Glycerophospholipid metabolism::ctp_c+h_c+pa_hs_18_0_18_1_c --> ppi_c+cdpdag_hs_18_0_18_1_c
1227 CDIPTr_18_0_18_1|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_18_0_18_1_c --> pail_hs_18_0_18_1_c+cmp_c+h_c
1228 PIPLC_18_0_18_1|Expanded Glycerophospholipid metabolism::pail_hs_18_0_18_1_c+h2o_c --> mi1p_D_c+dag_hs_18_0_18_1_c+h_c
1229 PIK4_18_0_18_1|Expanded Glycerophospholipid metabolism::pail_hs_18_0_18_1_c+atp_c --> pail4p_hs_18_0_18_1_c+h_c+adp_c
1230 PI4PLC_18_0_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_0_18_1_c --> dag_hs_18_0_18_1_c+h_c+mi14p_c
1231 PI4P3K_18_0_18_1|Expanded Glycerophospholipid metabolism::pail4p_hs_18_0_18_1_c+atp_c --> pail34p_hs_18_0_18_1_c+h_c+adp_c
1232 PI34P5K_18_0_18_1|Expanded Glycerophospholipid metabolism::pail34p_hs_18_0_18_1_c+atp_c --> h_c+pail345p_hs_18_0_18_1_c+adp_c
1233 PI4P5K_18_0_18_1|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_18_0_18_1_c --> h_c+pail345p_hs_18_0_18_1_c+adp_c
1234 PI345P3P_18_0_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_0_18_1_c --> pi_c+pail45p_hs_18_0_18_1_c
1235 PI45PLC_18_0_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_0_18_1_c --> dag_hs_18_0_18_1_c+h_c+mi145p_c
1236 AGPAT1_18_0_18_2|Expanded DAG metabolism::alpha_hs_18_0_c+lnlccoa_c --> coa_c+pa_hs_18_0_18_2_c
1237 PPAP_18_0_18_2|Expanded DAG metabolism::h2o_c+pa_hs_18_0_18_2_c --> dag_hs_18_0_18_2_c+pi_c
1238 CEPTE_18_0_18_2|Expanded Phospholipid metabolism::dag_hs_18_0_18_2_c+cdpea_c --> pe_hs_18_0_18_2_c+cmp_c+h_c
1239 PSSA2_hs_18_0_18_2|Expanded Phospholipid metabolism::pe_hs_18_0_18_2_c+ser_L_c --> ps_hs_18_0_18_2_c+etha_c
1240 PSSA2_hs_18_0_18_2|Expanded Phospholipid metabolism_reverse::ps_hs_18_0_18_2_c+etha_c --> pe_hs_18_0_18_2_c+ser_L_c
1241 PSSA1_hs_18_0_18_2|Expanded Phospholipid metabolism::chol_c+ps_hs_18_0_18_2_c --> ser_L_c+pchol_hs_18_0_18_2_c
1242 PSSA1_hs_18_0_18_2|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_0_18_2_c --> chol_c+ps_hs_18_0_18_2_c
1243 CEPTC_18_0_18_2|Expanded Phospholipid metabolism::dag_hs_18_0_18_2_c+cdpchol_c --> cmp_c+h_c+pchol_hs_18_0_18_2_c
1244 PLA2_2_18_0_18_2|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_0_18_2_c --> lnlc_c+h_c+lpchol_hs_18_0_c
1245 DAGK_hs_18_0_18_2|Expanded DAG metabolism::h_c+adp_c+pa_hs_18_0_18_2_c --> dag_hs_18_0_18_2_c+atp_c
1246 DAGK_hs_18_0_18_2|Expanded DAG metabolism_reverse::dag_hs_18_0_18_2_c+atp_c --> h_c+adp_c+pa_hs_18_0_18_2_c
1247 LPS2_18_0_18_2|Expanded DAG metabolism::dag_hs_18_0_18_2_c+h2o_c --> lnlc_c+h_c+mag_hs_18_0_c
1248 CDS_18_0_18_2|Expanded Glycerophospholipid metabolism::ctp_c+h_c+pa_hs_18_0_18_2_c --> ppi_c+cdpdag_hs_18_0_18_2_c
1249 CDIPTr_18_0_18_2|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_18_0_18_2_c --> cmp_c+pail_hs_18_0_18_2_c+h_c
1250 PIPLC_18_0_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_18_0_18_2_c --> dag_hs_18_0_18_2_c+mi1p_D_c+h_c
1251 PIK4_18_0_18_2|Expanded Glycerophospholipid metabolism::pail_hs_18_0_18_2_c+atp_c --> pail4p_hs_18_0_18_2_c+h_c+adp_c
1252 PI4PLC_18_0_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_0_18_2_c --> dag_hs_18_0_18_2_c+h_c+mi14p_c
1253 PI4P3K_18_0_18_2|Expanded Glycerophospholipid metabolism::pail4p_hs_18_0_18_2_c+atp_c --> pail34p_hs_18_0_18_2_c+h_c+adp_c
1254 PI34P5K_18_0_18_2|Expanded Glycerophospholipid metabolism::pail34p_hs_18_0_18_2_c+atp_c --> pail345p_hs_18_0_18_2_c+h_c+adp_c
1255 PI4P5K_18_0_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_18_0_18_2_c --> pail345p_hs_18_0_18_2_c+h_c+adp_c
1256 PI345P3P_18_0_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_0_18_2_c --> pi_c+pail45p_hs_18_0_18_2_c
1257 PI45PLC_18_0_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_0_18_2_c --> dag_hs_18_0_18_2_c+h_c+mi145p_c
1258 AGPAT1_18_0_20_4|Expanded DAG metabolism::arachdcoa_c+alpha_hs_18_0_c --> coa_c+pa_hs_18_0_20_4_c
1259 PPAP_18_0_20_4|Expanded DAG metabolism::h2o_c+pa_hs_18_0_20_4_c --> pi_c+dag_hs_18_0_20_4_c
1260 CEPTE_18_0_20_4|Expanded Phospholipid metabolism::cdpea_c+dag_hs_18_0_20_4_c --> cmp_c+pe_hs_18_0_20_4_c+h_c
1261 PSSA2_hs_18_0_20_4|Expanded Phospholipid metabolism::ser_L_c+pe_hs_18_0_20_4_c --> ps_hs_18_0_20_4_c+etha_c
1262 PSSA2_hs_18_0_20_4|Expanded Phospholipid metabolism_reverse::ps_hs_18_0_20_4_c+etha_c --> ser_L_c+pe_hs_18_0_20_4_c
1263 PSSA1_hs_18_0_20_4|Expanded Phospholipid metabolism::chol_c+ps_hs_18_0_20_4_c --> ser_L_c+pchol_hs_18_0_20_4_c
1264 PSSA1_hs_18_0_20_4|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_0_20_4_c --> chol_c+ps_hs_18_0_20_4_c
1265 CEPTC_18_0_20_4|Expanded Phospholipid metabolism::cdpchol_c+dag_hs_18_0_20_4_c --> cmp_c+pchol_hs_18_0_20_4_c+h_c
1266 PLA2_2_18_0_20_4|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_0_20_4_c --> h_c+lpchol_hs_18_0_c+arachd_c
1267 DAGK_hs_18_0_20_4|Expanded DAG metabolism::h_c+adp_c+pa_hs_18_0_20_4_c --> atp_c+dag_hs_18_0_20_4_c
1268 DAGK_hs_18_0_20_4|Expanded DAG metabolism_reverse::atp_c+dag_hs_18_0_20_4_c --> h_c+adp_c+pa_hs_18_0_20_4_c
1269 LPS2_18_0_20_4|Expanded DAG metabolism::h2o_c+dag_hs_18_0_20_4_c --> h_c+arachd_c+mag_hs_18_0_c
1270 CDS_18_0_20_4|Expanded Glycerophospholipid metabolism::ctp_c+h_c+pa_hs_18_0_20_4_c --> cdpdag_hs_18_0_20_4_c+ppi_c
1271 CDIPTr_18_0_20_4|Expanded Glycerophospholipid metabolism::cdpdag_hs_18_0_20_4_c+inost_c --> cmp_c+pail_hs_18_0_20_4_c+h_c
1272 PIPLC_18_0_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_18_0_20_4_c --> mi1p_D_c+h_c+dag_hs_18_0_20_4_c
1273 PIK4_18_0_20_4|Expanded Glycerophospholipid metabolism::pail_hs_18_0_20_4_c+atp_c --> pail4p_hs_18_0_20_4_c+h_c+adp_c
1274 PI4PLC_18_0_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_0_20_4_c --> h_c+dag_hs_18_0_20_4_c+mi14p_c
1275 PI4P3K_18_0_20_4|Expanded Glycerophospholipid metabolism::pail4p_hs_18_0_20_4_c+atp_c --> pail34p_hs_18_0_20_4_c+h_c+adp_c
1276 PI34P5K_18_0_20_4|Expanded Glycerophospholipid metabolism::pail34p_hs_18_0_20_4_c+atp_c --> pail345p_hs_18_0_20_4_c+h_c+adp_c
1277 PI4P5K_18_0_20_4|Expanded Glycerophospholipid metabolism::pail45p_hs_18_0_20_4_c+atp_c --> pail345p_hs_18_0_20_4_c+h_c+adp_c
1278 PI345P3P_18_0_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_0_20_4_c --> pail45p_hs_18_0_20_4_c+pi_c
1279 PI45PLC_18_0_20_4|Expanded Glycerophospholipid metabolism::pail45p_hs_18_0_20_4_c+h2o_c --> h_c+mi145p_c+dag_hs_18_0_20_4_c
1280 AGPAT1_18_1_18_1|Expanded DAG metabolism::alpha_hs_18_1_c+odecoa_c --> pa_hs_18_1_18_1_c+coa_c
1281 PPAP_18_1_18_1|Expanded DAG metabolism::h2o_c+pa_hs_18_1_18_1_c --> dag_hs_18_1_18_1_c+pi_c
1282 CEPTE_18_1_18_1|Expanded Phospholipid metabolism::cdpea_c+dag_hs_18_1_18_1_c --> cmp_c+h_c+pe_hs_18_1_18_1_c
1283 PSSA2_hs_18_1_18_1|Expanded Phospholipid metabolism::ser_L_c+pe_hs_18_1_18_1_c --> ps_hs_18_1_18_1_c+etha_c
1284 PSSA2_hs_18_1_18_1|Expanded Phospholipid metabolism_reverse::ps_hs_18_1_18_1_c+etha_c --> ser_L_c+pe_hs_18_1_18_1_c
1285 PSSA1_hs_18_1_18_1|Expanded Phospholipid metabolism::chol_c+ps_hs_18_1_18_1_c --> ser_L_c+pchol_hs_18_1_18_1_c
1286 PSSA1_hs_18_1_18_1|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_1_18_1_c --> chol_c+ps_hs_18_1_18_1_c
1287 CEPTC_18_1_18_1|Expanded Phospholipid metabolism::dag_hs_18_1_18_1_c+cdpchol_c --> cmp_c+pchol_hs_18_1_18_1_c+h_c
1288 PLA2_2_18_1_18_1|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_1_18_1_c --> ocdcea_c+h_c+lpchol_hs_18_1_c
1289 DAGK_hs_18_1_18_1|Expanded DAG metabolism::pa_hs_18_1_18_1_c+h_c+adp_c --> dag_hs_18_1_18_1_c+atp_c
1290 DAGK_hs_18_1_18_1|Expanded DAG metabolism_reverse::dag_hs_18_1_18_1_c+atp_c --> pa_hs_18_1_18_1_c+h_c+adp_c
1291 LPS2_18_1_18_1|Expanded DAG metabolism::h2o_c+dag_hs_18_1_18_1_c --> ocdcea_c+mag_hs_18_1_c+h_c
1292 CDS_18_1_18_1|Expanded Glycerophospholipid metabolism::pa_hs_18_1_18_1_c+ctp_c+h_c --> cdpdag_hs_18_1_18_1_c+ppi_c
1293 CDIPTr_18_1_18_1|Expanded Glycerophospholipid metabolism::cdpdag_hs_18_1_18_1_c+inost_c --> cmp_c+pail_hs_18_1_18_1_c+h_c
1294 PIPLC_18_1_18_1|Expanded Glycerophospholipid metabolism::pail_hs_18_1_18_1_c+h2o_c --> mi1p_D_c+dag_hs_18_1_18_1_c+h_c
1295 PIK4_18_1_18_1|Expanded Glycerophospholipid metabolism::pail_hs_18_1_18_1_c+atp_c --> pail4p_hs_18_1_18_1_c+h_c+adp_c
1296 PI4PLC_18_1_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_1_18_1_c --> dag_hs_18_1_18_1_c+h_c+mi14p_c
1297 PI4P3K_18_1_18_1|Expanded Glycerophospholipid metabolism::pail4p_hs_18_1_18_1_c+atp_c --> pail34p_hs_18_1_18_1_c+h_c+adp_c
1298 PI34P5K_18_1_18_1|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_18_1_18_1_c --> pail345p_hs_18_1_18_1_c+h_c+adp_c
1299 PI4P5K_18_1_18_1|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_18_1_18_1_c --> pail345p_hs_18_1_18_1_c+h_c+adp_c
1300 PI345P3P_18_1_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_1_18_1_c --> pi_c+pail45p_hs_18_1_18_1_c
1301 PI45PLC_18_1_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_1_18_1_c --> dag_hs_18_1_18_1_c+h_c+mi145p_c
1302 AGPAT1_18_1_18_2|Expanded DAG metabolism::alpha_hs_18_1_c+lnlccoa_c --> coa_c+pa_hs_18_1_18_2_c
1303 PPAP_18_1_18_2|Expanded DAG metabolism::h2o_c+pa_hs_18_1_18_2_c --> pi_c+dag_hs_18_1_18_2_c
1304 CEPTE_18_1_18_2|Expanded Phospholipid metabolism::cdpea_c+dag_hs_18_1_18_2_c --> cmp_c+pe_hs_18_1_18_2_c+h_c
1305 PSSA2_hs_18_1_18_2|Expanded Phospholipid metabolism::pe_hs_18_1_18_2_c+ser_L_c --> ps_hs_18_1_18_2_c+etha_c
1306 PSSA2_hs_18_1_18_2|Expanded Phospholipid metabolism_reverse::ps_hs_18_1_18_2_c+etha_c --> pe_hs_18_1_18_2_c+ser_L_c
1307 PSSA1_hs_18_1_18_2|Expanded Phospholipid metabolism::chol_c+ps_hs_18_1_18_2_c --> ser_L_c+pchol_hs_18_1_18_2_c
1308 PSSA1_hs_18_1_18_2|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_1_18_2_c --> chol_c+ps_hs_18_1_18_2_c
1309 CEPTC_18_1_18_2|Expanded Phospholipid metabolism::dag_hs_18_1_18_2_c+cdpchol_c --> cmp_c+pchol_hs_18_1_18_2_c+h_c
1310 PLA2_2_18_1_18_2|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_1_18_2_c --> lnlc_c+h_c+lpchol_hs_18_1_c
1311 DAGK_hs_18_1_18_2|Expanded DAG metabolism::pa_hs_18_1_18_2_c+h_c+adp_c --> atp_c+dag_hs_18_1_18_2_c
1312 DAGK_hs_18_1_18_2|Expanded DAG metabolism_reverse::atp_c+dag_hs_18_1_18_2_c --> pa_hs_18_1_18_2_c+h_c+adp_c
1313 LPS2_18_1_18_2|Expanded DAG metabolism::h2o_c+dag_hs_18_1_18_2_c --> lnlc_c+mag_hs_18_1_c+h_c
1314 CDS_18_1_18_2|Expanded Glycerophospholipid metabolism::pa_hs_18_1_18_2_c+ctp_c+h_c --> ppi_c+cdpdag_hs_18_1_18_2_c
1315 CDIPTr_18_1_18_2|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_18_1_18_2_c --> cmp_c+h_c+pail_hs_18_1_18_2_c
1316 PIPLC_18_1_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_18_1_18_2_c --> mi1p_D_c+dag_hs_18_1_18_2_c+h_c
1317 PIK4_18_1_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail_hs_18_1_18_2_c --> pail4p_hs_18_1_18_2_c+h_c+adp_c
1318 PI4PLC_18_1_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_1_18_2_c --> dag_hs_18_1_18_2_c+h_c+mi14p_c
1319 PI4P3K_18_1_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_18_1_18_2_c --> h_c+adp_c+pail34p_hs_18_1_18_2_c
1320 PI34P5K_18_1_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_18_1_18_2_c --> h_c+adp_c+pail345p_hs_18_1_18_2_c
1321 PI4P5K_18_1_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_18_1_18_2_c --> h_c+adp_c+pail345p_hs_18_1_18_2_c
1322 PI345P3P_18_1_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_1_18_2_c --> pi_c+pail45p_hs_18_1_18_2_c
1323 PI45PLC_18_1_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_1_18_2_c --> dag_hs_18_1_18_2_c+h_c+mi145p_c
1324 AGPAT1_18_1_20_4|Expanded DAG metabolism::alpha_hs_18_1_c+arachdcoa_c --> coa_c+pa_hs_18_1_20_4_c
1325 PPAP_18_1_20_4|Expanded DAG metabolism::h2o_c+pa_hs_18_1_20_4_c --> pi_c+dag_hs_18_1_20_4_c
1326 CEPTE_18_1_20_4|Expanded Phospholipid metabolism::cdpea_c+dag_hs_18_1_20_4_c --> cmp_c+h_c+pe_hs_18_1_20_4_c
1327 PSSA2_hs_18_1_20_4|Expanded Phospholipid metabolism::ser_L_c+pe_hs_18_1_20_4_c --> ps_hs_18_1_20_4_c+etha_c
1328 PSSA2_hs_18_1_20_4|Expanded Phospholipid metabolism_reverse::ps_hs_18_1_20_4_c+etha_c --> ser_L_c+pe_hs_18_1_20_4_c
1329 PSSA1_hs_18_1_20_4|Expanded Phospholipid metabolism::chol_c+ps_hs_18_1_20_4_c --> ser_L_c+pchol_hs_18_1_20_4_c
1330 PSSA1_hs_18_1_20_4|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_1_20_4_c --> chol_c+ps_hs_18_1_20_4_c
1331 CEPTC_18_1_20_4|Expanded Phospholipid metabolism::cdpchol_c+dag_hs_18_1_20_4_c --> cmp_c+h_c+pchol_hs_18_1_20_4_c
1332 PLA2_2_18_1_20_4|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_1_20_4_c --> h_c+arachd_c+lpchol_hs_18_1_c
1333 DAGK_hs_18_1_20_4|Expanded DAG metabolism::pa_hs_18_1_20_4_c+h_c+adp_c --> atp_c+dag_hs_18_1_20_4_c
1334 DAGK_hs_18_1_20_4|Expanded DAG metabolism_reverse::atp_c+dag_hs_18_1_20_4_c --> pa_hs_18_1_20_4_c+h_c+adp_c
1335 LPS2_18_1_20_4|Expanded DAG metabolism::h2o_c+dag_hs_18_1_20_4_c --> mag_hs_18_1_c+h_c+arachd_c
